DATE,USEPUINDXD
2015-07-01,74.3119354838709677
2015-08-01,76.0109677419354839
2015-09-01,87.0620000000000000
2015-10-01,65.7516129032258065
2015-11-01,55.5106666666666667
2015-12-01,71.0806451612903226
2016-01-01,80.3806451612903226
2016-02-01,78.9310344827586207
2016-03-01,63.6300000000000000
2016-04-01,52.4356666666666667
2016-05-01,55.1816129032258065
2016-06-01,133.6480000000000000
2016-07-01,94.6700000000000000
2016-08-01,71.4125806451612903
2016-09-01,50.2893333333333333
2016-10-01,69.4464516129032258
2016-11-01,125.6723333333333333
2016-12-01,123.9270967741935484
2017-01-01,144.1354838709677419
2017-02-01,119.4275000000000000
2017-03-01,112.8529032258064516
2017-04-01,101.3563333333333333
2017-05-01,92.1893548387096774
2017-06-01,95.0600000000000000
2017-07-01,100.4090322580645161
2017-08-01,73.2877419354838710
2017-09-01,84.1876666666666667
2017-10-01,70.2106451612903226
2017-11-01,91.1950000000000000
2017-12-01,90.5725806451612903
2018-01-01,114.8000000000000000
2018-02-01,84.0385714285714286
2018-03-01,76.3758064516129032
2018-04-01,88.5960000000000000
2018-05-01,87.8674193548387097
2018-06-01,103.7893333333333333
2018-07-01,99.5267741935483871
2018-08-01,85.7145161290322581
2018-09-01,67.3626666666666667
2018-10-01,90.2512903225806452
2018-11-01,79.4720000000000000
2018-12-01,127.5329032258064516
2019-01-01,146.5874193548387097
2019-02-01,82.6503571428571429
2019-03-01,94.6564516129032258
2019-04-01,78.7390000000000000
2019-05-01,94.4522580645161290
2019-06-01,137.3706666666666667
2019-07-01,94.7964516129032258
2019-08-01,155.2332258064516129
2019-09-01,118.3070000000000000
2019-10-01,98.0029032258064516
2019-11-01,81.0420000000000000
2019-12-01,121.3074193548387097
2020-01-01,110.0745161290322581
2020-02-01,113.2600000000000000
2020-03-01,380.3896774193548387
2020-04-01,555.3246666666666667
2020-05-01,484.1822580645161290
2020-06-01,313.9160000000000000
2020-07-01,359.4525806451612903
2020-08-01,298.5867741935483871
2020-09-01,247.7366666666666667
2020-10-01,271.4293548387096774
2020-11-01,264.6863333333333333
2020-12-01,238.6738709677419355
2021-01-01,216.0622580645161290
2021-02-01,154.3964285714285714
2021-03-01,176.7019354838709677
2021-04-01,122.4806666666666667
2021-05-01,129.4448387096774194
2021-06-01,113.1460000000000000
2021-07-01,130.0103225806451613
2021-08-01,124.1441935483870968
2021-09-01,120.2296666666666667
2021-10-01,109.6483870967741935
2021-11-01,135.1526666666666667
2021-12-01,137.1274193548387097
2022-01-01,145.6700000000000000
2022-02-01,127.9896428571428571
2022-03-01,186.6145161290322581
2022-04-01,136.3136666666666667
2022-05-01,133.7783870967741935
2022-06-01,133.4673333333333333
2022-07-01,146.9006451612903226
2022-08-01,119.1632258064516129
2022-09-01,109.5560000000000000
2022-10-01,139.8300000000000000
2022-11-01,147.6546666666666667
2022-12-01,132.4445161290322581
2023-01-01,186.7664516129032258
2023-02-01,120.9703571428571429
2023-03-01,140.2809677419354839
2023-04-01,138.7573333333333333
2023-05-01,190.4554838709677419
2023-06-01,122.3863333333333333
2023-07-01,101.6529032258064516
2023-08-01,97.6193548387096774
2023-09-01,89.2293333333333333
2023-10-01,140.1100000000000000
2023-11-01,114.5336666666666667
2023-12-01,128.2696774193548387
